company_id,investor_id,amount
4708640,4708666,0.0
5310348,5310352,0.0
5835331,1468298,0.0
6339545,2901375,0.0
7140015,7140222,500.0
7293520,7293536,0.0
7444203,3550576,99.0
7973886,7973920,0.0
8232633,8232659,308.0
8703380,7559877,200.0
10201852,10201854,0.0
10224815,6393331,0.0
10633317,10633321,0.0
10837128,5587830,0.0
11359459,11359577,1800.0
11914757,11915023,0.0
12227414,9357688,0.0
12254218,12254220,0.0
13285219,13285221,0.0
14156767,81436,0.0
14225625,5945482,20000.0
14620775,14620778,0.0
15021690,4096628,0.0
15730907,14363837,0.0
17866494,8939730,0.0
19479905,19479907,0.0
14022920,259307,0.0
21380409,21380422,0.0
22917179,534778,0.0
23001915,23001917,0.0
23200179,23200182,0.0
23930738,13455880,0.0
24571876,23777719,0.0
24949389,3157374,0.0
27364521,27263828,25.0
27500068,2810610,3200.0
27736953,27737157,150.0
28076475,28076478,0.0
28079436,28079439,0.0
28585162,12073820,0.0
31148799,10159084,0.0
34175447,10710004,0.0
34572395,5432095,0.0
35079880,35079894,2.0
35097713,35097719,0.0
35783084,15310263,0.0
36218559,36218579,0.0
36696287,403495,0.0
37956968,169947,468.0
38297474,485901,0.0
39554808,37301372,0.0
40347343,28206251,0.0
43047378,522793,0.0
46510331,46510333,0.0
47063917,43579866,0.0
3762689,3762696,0.0
6255790,6255881,454.35
50697829,567707,0.0
13071233,6283650,0.0
51992360,51992361,175.0
52406796,12759991,0.0
52413337,12759990,0.0
52590069,12759991,0.0
54223163,3784447,3000.0
40703409,35530418,0.0
56795725,56795728,300.0
58416182,1443192,4.9
60442061,60377384,0.0
62495533,62463934,140.0
63270531,63270532,0.0
63920547,63920547,5.0
42026604,3032372,
31169613,31169618,
64449910,64449910,5.0
10239788,601308,
5401572,5401724,100.0
2423052,38396569,
39615586,39615587,
8801476,3093144,100.0
65849771,505664,
14926941,3904774,300.0
34916739,10678064,5.0
2402538,2402539,
3925225,2160883,
382410,382411,
29572596,509360,
33957253,2153249,
65886358,547897,
