id,equity_amount,pledgee_id,pledgee_type,pledgor_id,pledgor_type,state,up_state
1051362,180.9,338.0,1,2001172,1,有效,2.0
1595323,750.0,10593224.0,1,10593224,1,有效,2.0
1633055,620.0,290764.0,1,4705687,1,有效,2.0
1636400,1120.0,140300.0,1,0,1,有效,2.0
1670399,1473.84,969458.0,1,290764,1,有效,2.0
1670402,818.8,290764.0,1,4705687,1,有效,2.0
1782611,50.0,3491505.0,1,0,1,有效,2.0
1787136,117.3,879277.0,1,4886,1,有效,2.0
1798771,500.0,856332.0,1,7921962,1,有效,2.0
2102039,66.9,290620.0,1,0,1,有效,2.0
2107049,3203.0,335851.0,1,20731424,1,有效,2.0
2122771,120.0,8212133.0,1,0,1,有效,2.0
2146009,9.75,15152526.0,1,0,1,有效,2.0
2146010,31.3,1428.0,1,0,1,有效,2.0
2146011,17.5,991863.0,1,0,1,有效,2.0
2146012,81.7,522918.0,1,0,1,有效,2.0
2146013,24.75,94962.0,1,0,1,有效,2.0
2224041,30.0,706197.0,1,784691,1,有效,2.0
2234371,1200.0,2150033.0,1,424034,1,有效,2.0
2272255,40.0,4813567.0,1,2632086,1,有效,2.0
2272256,40.0,2152489.0,1,2632086,1,有效,2.0
2272257,48.0,4813567.0,1,12889,1,有效,2.0
2272259,120.0,4813567.0,1,278773,1,有效,2.0
2272260,16.0,4813567.0,1,12889,1,有效,2.0
2272261,16.0,63645.0,1,12889,1,有效,2.0
2272262,16.0,1121638.0,1,12889,1,有效,2.0
2322268,632.0,3848123.0,1,522747,1,有效,2.0
2363776,350.0,108002.0,1,1183958,1,有效,2.0
2404073,300.0,3672630.0,1,560653,1,有效,2.0
2442526,29.502,162.0,1,0,1,有效,2.0
2442527,29.502,685995.0,1,0,1,有效,2.0
2442528,29.502,3945026.0,1,0,1,有效,2.0
2443845,1280.0,5733332.0,1,0,1,有效,2.0
2493681,200.0,7765486.0,1,0,1,有效,2.0
2494105,1500.0,9103496.0,1,805598,1,有效,2.0
2494106,1000.0,4298239.0,1,805598,1,有效,2.0
2496173,50.0,3482843.0,1,1154448,1,有效,2.0
2496174,200.0,3482843.0,1,0,1,有效,2.0
